name,price,date

['Boardwalk Cottages'],['US$134'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$143'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$126'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$84'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$229'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Mermaid Inn'],['US$117'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Shore View Apartments'],['US$166'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$134'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$100'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$286'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Astoria Riverwalk Inn'],['US$246'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$85'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$209'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$310'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$79'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$205'],"0   2022-06-01
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$84'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$143'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$126'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$134'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$94'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$235'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Mermaid Inn'],['US$117'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Life�s Beach�Inn'],['US$112'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Shore View Apartments'],['US$166'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$250'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Historic Camp Hungry'],['US$84'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$159'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$100'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$139'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$286'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Astoria Riverwalk Inn'],['US$271'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$85'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$209'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$225'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"1   2022-06-02
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$186'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Oceanview Inn at the Arch'],['US$187'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$119'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$176'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$211'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$185'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$298'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$254'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Shore View Apartments'],['US$191'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$161'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Historic Camp Hungry'],['US$125'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$159'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$102'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$332'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

"['Motel 6-Astoria, OR']",['US$105'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$299'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$385'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$169'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$169'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$287'],"2   2022-06-03
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$159'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$176'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$263'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$149'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$290'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$185'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$358'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$249'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$199'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$102'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$332'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$286'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$194'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$368'],"3   2022-06-04
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$89'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$147'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$143'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$141'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$79'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Inn at Discovery Coast'],['US$264'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Mermaid Inn'],['US$117'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['The Breakers Long Beach'],['US$199'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Lighthouse Oceanfront Resort'],['US$179'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Life�s Beach�Inn'],['US$112'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Shelburne Hotel'],['US$143'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Inn at Harbour Village'],['US$159'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

"[""Heidi's Inn""]",['US$85'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Salt Hotel'],['US$120'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Col-Pacific Motel'],['US$149'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['At The Helm Hotel'],['US$286'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Astoria Riverwalk Inn'],['US$200'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Best Western Astoria Bayfront Hotel'],['US$198'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",['US$249'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Atomic Motel'],['US$79'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Columbia Inn'],['US$72'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Astoria Rivershore Motel'],['US$79'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Bowline Hotel'],['US$241'],"4   2022-06-05
Name: date, dtype: datetime64[ns]"

['Inn at the Sea'],['US$89'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

['Adrift Hotel'],['US$161'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

['Boardwalk Cottages'],['US$143'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

['Best Western Long Beach Inn'],['US$141'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

['Coastal Inn and Suites'],['US$79'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

['Chautauqua Resort & Conference Center'],['US$158'],"5   2022-06-06
Name: date, dtype: datetime64[ns]"

